site	test	class	action	evidence
crates/boyko_ecs/tests/entity_store_growth.rs:28	i1_spawn_across_growth_thresholds	miri-slow	insert	cfg_attr(miri); 50k-100k spawns, minutes under Miri; the Miri half is miri_entity_store.rs
crates/boyko_ecs/tests/entity_store_growth.rs:62	i2_commit_frontier_growth_with_early_entity_intact	miri-slow	insert	cfg_attr(miri); 50k-100k spawns, minutes under Miri; the Miri half is miri_entity_store.rs
crates/boyko_ecs/tests/entity_store_growth.rs:94	i3_clear_respawn_no_stale_liveness	miri-slow	insert	cfg_attr(miri); 50k-100k spawns, minutes under Miri; the Miri half is miri_entity_store.rs
crates/boyko_ecs/tests/gaia_storage_blindness.rs:211	a_flag_field_in_a_user_bundle_spawns	deferred	keep	re-verified: RED BY DESIGN; unowned poolless-storage site (its reason)
crates/boyko_ecs/tests/gk2_change_tick_api_dense_blindness.rs:153	any_changed_since_sees_a_dense_component	deferred	keep	re-verified: RED BY DESIGN until Gaia GK-2
crates/boyko_ecs/tests/gk2_change_tick_api_dense_blindness.rs:177	get_component_changed_tick_resolves_a_dense_member	deferred	keep	re-verified: RED BY DESIGN until Gaia GK-2
crates/boyko_ecs/tests/ke16_app8_consumer_predicates.rs:162	event_reader_reads_every_event_at_guard_depth_two	miri-slow	keep	re-verified: cfg_attr(miri); real OS thread pool + parallel scheduler
crates/boyko_ecs/tests/ke16_in_system_depth_balance.rs:184	every_probed_worker_leaves_the_system_depth_at_zero	miri-slow	keep	re-verified: cfg_attr(miri); real OS thread pool
crates/boyko_ecs/tests/ke16_in_system_depth_balance.rs:305	the_dispatcher_runs_its_safety_7_drains_at_depth_zero	miri-slow	keep	re-verified: cfg_attr(miri); real OS thread pool
crates/boyko_ecs/tests/ke16_nested_system_events.rs:128	nested_system_events_interleave_in_one_lane_and_all_are_readable	miri-slow	keep	re-verified: cfg_attr(miri); real OS thread pool
crates/boyko_ecs/tests/ke16_nested_system_events.rs:205	event_writer_send_after_the_nested_guard_drops_is_still_inside_a_system_body	miri-slow	keep	re-verified: cfg_attr(miri); real OS thread pool
crates/boyko_ecs/tests/ke16_nested_system_inline.rs:361	a_second_system_guard_inside_a_system_body_is_legal	miri-slow	keep	re-verified: cfg_attr(miri); real OS thread pool
crates/boyko_ecs/tests/ke16_nested_system_inline.rs:404	conflict_free_systems_complete_with_nesting_legal	miri-slow	keep	re-verified: cfg_attr(miri); real OS thread pool
crates/boyko_ecs/tests/ke16_nested_system_inline.rs:445	a_sibling_system_is_run_inline_inside_another_system_body	deferred	keep	re-verified: red (depth 1 over 8 runs) until a configuration nests deterministically; not `flaky`: it is red, not intermittent
crates/boyko_ecs/tests/ke16_occupancy_gate.rs:172	par_iter_from_dispatcher_reaches_more_than_one_thread	miri-slow	keep	re-verified: cfg_attr(miri); wall-clock spin across a real OS thread pool
crates/boyko_ecs/tests/ke16_occupancy_gate.rs:224	par_iter_in_system_reaches_more_than_one_thread	miri-slow	keep	re-verified: cfg_attr(miri); wall-clock spin across a real OS thread pool
crates/boyko_ecs/tests/ke1_or_dense_blindness.rs:265	or_changed_table_then_dense_sees_the_dense_arm	miri-slow	insert	cfg_attr(miri); threadpool schedule, Miri wall-time; same class as ke3's prefixed twins
crates/boyko_ecs/tests/ke1_or_dense_blindness.rs:316	or_changed_dense_then_table_sees_the_dense_arm	miri-slow	insert	cfg_attr(miri); threadpool schedule, Miri wall-time; same class as ke3's prefixed twins
crates/boyko_ecs/tests/ke1_or_dense_blindness.rs:364	or_changed_dense_alone_sees_the_dense_arm	miri-slow	insert	cfg_attr(miri); threadpool schedule, Miri wall-time; same class as ke3's prefixed twins
crates/boyko_ecs/tests/ke3_query_random_access.rs:347	get_mut_stamps_the_changed_tick_from_the_system_meta	miri-slow	keep	re-verified: cfg_attr(miri); threadpool busy-wait
crates/boyko_ecs/tests/ke3_query_random_access.rs:408	get_applies_a_change_detection_filter	miri-slow	keep	re-verified: cfg_attr(miri); threadpool busy-wait
crates/boyko_ecs/tests/miri_fixed_loop.rs:72	miri_app_driver_substeps_and_hold	miri-slow	insert	file is #![cfg(miri)] (:20): exists only under Miri; 4 Schedule::runs burn >40 CPU-min there (doc :64-70) - run with cargo miri test -- --ignored (CLAUDE.md names it)
crates/boyko_ecs/tests/miri_phase19.rs:277	miri_cascade_wide_path	miri-slow	replace	file is #![cfg(miri)] (:46) and the site is cfg_attr(miri): a 34-entity cascade over-runs Miri; was `tractability:`
crates/boyko_ecs/tests/phase14a_repro_reentrant_drain.rs:79	schedule_hook_enqueued_despawn_applies_exactly_once	miri-slow	insert	cfg_attr(miri); a 2-worker Schedule::run once stalled Miri; its own reason says 'unrun, not unrunnable'
crates/boyko_ecs/tests/pool_growth.rs:118	cross_ceiling_spawn_100k_one_archetype	miri-slow	replace	cfg_attr(miri); thousands of rows through the apply window (file # Miri note); was `tractability:`
crates/boyko_ecs/tests/pool_growth.rs:291	migration_into_grown_target_preserves_bytes_and_ticks	miri-slow	replace	cfg_attr(miri); thousands of rows through the apply window (file # Miri note); was `tractability:`
crates/boyko_ecs/tests/pool_growth.rs:481	hook_deferred_spawns_grow_same_archetype_at_slab_boundary	miri-slow	replace	cfg_attr(miri); thousands of rows through the apply window (file # Miri note); was `tractability:`
crates/boyko_ecs/tests/pool_growth.rs:566	for_each_chunk_single_slice_after_growth	miri-slow	replace	cfg_attr(miri); thousands of rows through the apply window (file # Miri note); was `tractability:`
crates/boyko_ecs/tests/seam_by_id.rs:1308	g12c_a_dense_carrying_victim_stays_visible_to_a_dense_query_after_a_table_attach	deferred	keep	re-verified: RED by design until a named kernel change (its reason)
crates/boyko_ecs/tests/seam_by_id.rs:2217	g17_entity_targeted_remove_observers_fire_through_the_by_id_seam_as_through_the_typed_one	deferred	keep	re-verified: RED by design until a named kernel change (its reason)
crates/boyko_log/tests/l14_sink_policy.rs:102	an_armed_target_no_sink_accepts_is_unsunk_and_says_so	solo	insert	plain, device-free; drives EVERY sink Off, a process-wide state, so it runs alone (--test-threads=1); CLAUDE.md's device-free leg
crates/boyko_physics/src/sdf_simd.rs:618	x8_bits_eq_scalar_bits_widened_proptest	deferred	keep	re-verified: RED since AVX2 was enabled, owner decision pending (its reason)
crates/boyko_physics/tests/apply_row_alignment.rs:763	the_apply_walks_are_exactly_the_gather_walk_in_the_plain_scenes	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:790	the_apply_walks_are_exactly_the_gather_walk_after_a_collider_removal	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:861	gathered_bodies_hold_the_row_they_were_gathered_from_with_a_collider_less_body_first	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:885	gathered_bodies_match_the_stray_free_control_with_a_collider_less_body_first	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:905	gathered_bodies_match_the_stray_free_control_with_a_mass_less_body_first	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:926	a_collider_less_body_is_never_written_by_physics_apply	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:941	a_mass_less_body_is_never_written_by_physics_apply	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:985	gathered_bodies_match_the_stray_free_control_with_a_collider_less_body_last	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:1009	gathered_bodies_keep_their_state_when_a_collider_is_removed_mid_run	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:1035	control_a_scene_without_a_stray_body_is_reproducible	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/apply_row_alignment.rs:1056	control_a_scene_without_a_stray_body_actually_simulates	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:520	the_selection_masks_predict_the_kernels_own_walks	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:724	selection_order_is_independent_of_archetype_creation_order	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:925	a_seam_solver_writing_through_bodies_mut_reaches_its_bodies	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:940	a_seam_solver_writing_through_set_bodies_reaches_its_bodies	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:991	body_set_check_passes_on_add_physics_systems	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:1003	body_set_check_passes_on_add_physics_systems_with_scene_sync	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:1015	body_set_check_passes_on_add_physics_colored	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:1027	body_set_check_passes_on_add_physics_colored_solve	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:1039	body_set_check_passes_on_add_physics_sdf	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:1051	body_set_check_passes_on_add_physics_soft_uncoupled	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:1063	body_set_check_passes_on_add_physics_soft_coupled	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/body_set_selection.rs:1075	body_set_check_passes_on_add_physics_soft_colored	miri-slow	keep	re-verified: cfg_attr(miri); schedule on a threadpool
crates/boyko_physics/tests/broadphase_select_p3.rs:120	manual_mode_only_counts_never_changes_kind	miri-slow	keep	re-verified: cfg_attr(miri); thousands of spheres through an O(n^2) broadphase
crates/boyko_physics/tests/broadphase_select_p3.rs:167	auto_selects_grid_above_hi	miri-slow	keep	re-verified: cfg_attr(miri); thousands of spheres through an O(n^2) broadphase
crates/boyko_physics/tests/broadphase_select_p3.rs:190	auto_selects_all_pairs_below_lo	miri-slow	keep	re-verified: cfg_attr(miri); thousands of spheres through an O(n^2) broadphase
crates/boyko_physics/tests/broadphase_select_p3.rs:214	auto_holds_band_inside_dead_zone_both_directions	miri-slow	keep	re-verified: cfg_attr(miri); thousands of spheres through an O(n^2) broadphase
crates/boyko_physics/tests/broadphase_select_p3.rs:276	all_pairs_equals_grid_pairs_and_manifolds	miri-slow	keep	re-verified: cfg_attr(miri); thousands of spheres through an O(n^2) broadphase
crates/boyko_physics/tests/broadphase_select_p3.rs:314	all_pairs_equals_grid_across_densities	miri-slow	keep	re-verified: cfg_attr(miri); thousands of spheres through an O(n^2) broadphase
crates/boyko_physics/tests/broadphase_select_p3.rs:414	auto_keeps_all_pairs_on_the_jolt_pyramid	miri-slow	keep	re-verified: cfg_attr(miri); thousands of spheres through an O(n^2) broadphase
crates/boyko_physics/tests/broadphase_tree_direct_drive.rs:248	rent_admission_of_64_reaches_within_the_bench_cap_at_the_design_sizes	miri-slow	keep	re-verified: cfg_attr(miri); 1240-row lattice x 10 steps
crates/boyko_physics/tests/ke16_app1_soft_colored_from_a_worker.rs:216	soft_colored_from_a_worker_runs_on_a_registered_worker_and_dispatches	miri-slow	keep	re-verified: cfg_attr(miri); 1600-particle cloth on a real pool
crates/boyko_physics/tests/ke16_app1_soft_colored_from_a_worker.rs:247	soft_colored_from_a_worker_is_bit_identical_at_one_and_four_workers	miri-slow	keep	re-verified: cfg_attr(miri); 1600-particle cloth on a real pool
crates/boyko_physics/tests/ke16_app1_solve_in_system_bit_identity.rs:264	floor_scene_color_exceeds_the_parallel_dispatch_threshold	miri-slow	keep	re-verified: cfg_attr(miri); real pool / 301-body scene
crates/boyko_physics/tests/ke16_app1_solve_in_system_bit_identity.rs:307	solve_in_scheduled_system_runs_on_a_registered_worker	miri-slow	keep	re-verified: cfg_attr(miri); real pool / 301-body scene
crates/boyko_physics/tests/ke16_app1_solve_in_system_bit_identity.rs:325	solve_in_scheduled_system_is_bit_identical_to_the_serial_oracle	miri-slow	keep	re-verified: cfg_attr(miri); real pool / 301-body scene
crates/boyko_physics/tests/ke16_app1_solve_in_system_bit_identity.rs:349	solve_in_scheduled_system_is_bit_identical_at_1_2_4_and_8_workers	miri-slow	keep	re-verified: cfg_attr(miri); real pool / 301-body scene
crates/boyko_physics/tests/ke16_app1_solve_in_system_bit_identity.rs:374	floor_scene_non_vacuously_solves	miri-slow	keep	re-verified: cfg_attr(miri); real pool / 301-body scene
crates/boyko_physics/tests/narrowphase_parallel_equivalence.rs:605	jolt_pyramid_parallel_narrowphase_is_bit_identical	slow	keep	re-verified: plain, device-free; 1240-box pyramid x 600 steps x 4 worlds; its leg is --release -- --ignored
crates/boyko_physics/tests/sleep_settles_box_piles.rs:1438	a_small_box_pile_freezes_without_a_contact_wake_and_a_support_loss_wakes_all_of_it	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule until a pile freezes
crates/boyko_physics/tests/sleep_settles_box_piles.rs:1485	a_height_5_box_pyramid_freezes_within_the_onset_flicker_budget	slow	keep	re-verified: cfg_attr(any(miri, debug_assertions)) = native scope, ignored in debug only; the leg is the ordinary --release run (the census's `slow` doc)
crates/boyko_physics/tests/sleep_settles_box_piles.rs:1514	sixteen_height_4_draws_freeze_within_the_onset_flicker_budget	slow	keep	re-verified: cfg_attr(any(miri, debug_assertions)) = native scope, ignored in debug only; the leg is the ordinary --release run (the census's `slow` doc)
crates/boyko_physics/tests/sleep_settles_box_piles.rs:1600	a_height_6_box_pyramid_freezes	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule until a pile freezes
crates/boyko_physics/tests/sleep_settles_box_piles.rs:1694	a_resting_jolt_pyramid_does_not_creep_with_sleeping_off	slow	keep	re-verified: cfg_attr(any(miri, debug_assertions)) = native scope, ignored in debug only; the leg is the ordinary --release run (the census's `slow` doc)
crates/boyko_physics/tests/sleep_settles_box_piles.rs:1801	a_jolt_scale_box_pyramid_freezes	slow	keep	re-verified: cfg_attr(any(miri, debug_assertions)) = native scope, ignored in debug only; the leg is the ordinary --release run (the census's `slow` doc)
crates/boyko_physics/tests/sleep_settles_box_piles.rs:1941	simd_solve_on_off_bit_identical	slow	keep	re-verified: cfg_attr(any(miri, debug_assertions)) = native scope, ignored in debug only; the leg is the ordinary --release run (the census's `slow` doc)
crates/boyko_physics/tests/sleep_settles_box_piles.rs:2018	flicker_redraw_distribution	generator	keep	re-verified: prints the flicker re-draw distribution; asserts nothing
crates/boyko_physics/tests/sleep_settles_box_piles.rs:2202	a_frozen_box_pile_ignores_a_despawn_that_renumbers_its_island_and_moves_its_row	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule until a pile freezes
crates/boyko_physics/tests/sleep_settles_box_piles.rs:2222	a_frozen_box_pile_whose_bottom_corner_reverses_its_pair_order_takes_no_contact_wake	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule until a pile freezes
crates/boyko_physics/tests/sleep_settles_box_piles.rs:2457	a_frozen_box_pile_ignores_a_spawn_that_shifts_every_row_it_holds	miri-slow	keep	re-verified: cfg_attr(miri); real physics schedule until a pile freezes
crates/boyko_physics/tests/sleep_settles_box_piles.rs:2473	a_height_5_box_pyramid_ignores_a_spawn_that_shifts_every_row_it_holds	slow	keep	re-verified: cfg_attr(any(miri, debug_assertions)) = native scope, ignored in debug only; the leg is the ordinary --release run (the census's `slow` doc)
crates/boyko_physics/tests/soft_body_sp1.rs:221	drop_cube_rests	miri-slow	insert	cfg_attr(miri); settles 400 steps x 8 substeps, intractable under the interpreter; short kernel gates cover it there
crates/boyko_physics/tests/soft_body_sp1.rs:481	soft_on_sdf_floor	miri-slow	insert	cfg_attr(miri); settles 400 steps x 8 substeps, intractable under the interpreter; short kernel gates cover it there
crates/boyko_physics/tests/soft_body_sp2.rs:380	rest_volume_preserved	miri-slow	insert	cfg_attr(miri); settles 200-400 steps x 8 substeps, intractable under the interpreter
crates/boyko_physics/tests/soft_body_sp2.rs:541	rest_residual_tightened	miri-slow	insert	cfg_attr(miri); settles 200-400 steps x 8 substeps, intractable under the interpreter
crates/boyko_physics/tests/soft_rigid_apply_row_alignment.rs:286	the_soft_rigid_reaction_reaches_the_body_it_was_computed_for	miri-slow	keep	re-verified: cfg_attr(miri); coupled schedule on a threadpool
crates/boyko_physics/tests/soft_rigid_apply_row_alignment.rs:324	control_the_coupled_scene_is_reproducible	miri-slow	keep	re-verified: cfg_attr(miri); coupled schedule on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:592	a_deleting_the_support_wakes_the_body_it_carried	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:604	a_deleting_the_support_with_a_row_move_wakes_the_body_it_carried	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:616	a_the_wake_lands_on_the_first_step_after_the_support_is_deleted	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:641	b_removing_the_supports_rigid_body_wakes_the_body_it_carried	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:656	d_teleporting_the_support_away_wakes_the_body_it_carried	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:681	c_a_parked_support_keeps_carrying_the_body_it_holds	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:716	attribution_a_delete_falls_after_an_explicit_wake_all	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:727	attribution_b_remove_rigid_body_falls_after_an_explicit_wake_all	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:738	attribution_d_teleport_falls_after_an_explicit_wake_all	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:904	control_deleting_a_body_that_touched_no_dynamic_body_wakes_nobody	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_physics/tests/support_loss_wakes_sleepers.rs:921	control_deleting_a_lone_body_that_moves_a_row_wakes_nobody	miri-slow	keep	re-verified: cfg_attr(miri); 660 solver steps on a threadpool
crates/boyko_reflect/tests/c1_scalar.rs:127	u8_roundtrip_full_range	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:133	u16_roundtrip_full_range	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:139	u32_roundtrip_full_range	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:145	u64_roundtrip_full_range	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:155	i8_roundtrip_full_range_negatives_included	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:161	i16_roundtrip_full_range_negatives_included	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:167	i32_roundtrip_full_range_negatives_included	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:173	i64_roundtrip_full_range_negatives_included	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:183	f32_roundtrip_all_bit_patterns_bitwise	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:191	f64_roundtrip_all_bit_patterns_bitwise	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c1_scalar.rs:199	entity_id_roundtrip_full_range	miri-slow	insert	cfg_attr(miri); full-range proptest, per-case interpreter cost prohibitive; deterministic edge tests carry the kinds under Miri
crates/boyko_reflect/tests/c6_nested.rs:642	a_chain_deeper_than_the_walk_is_refused_rather_than_truncated	miri-unsupported	insert	cfg_attr(miri); builds its fixture with Box::leak, and Miri's leak checker REPORTS the deliberate leak - not slow, rejected
crates/boyko_reflect/tests/c6_nested.rs:673	a_graph_wider_than_the_finished_set_is_refused	miri-unsupported	insert	cfg_attr(miri); builds its fixture with Box::leak, and Miri's leak checker REPORTS the deliberate leak - not slow, rejected
crates/boyko_render/tests/bindless_smoke.rs:31	bindless_smoke_create_write_two_slots_and_teardown	gpu	insert	body calls common::boot_or_skip (common/mod.rs:30) = VulkanContext::boot, validation on, headless (module doc :1)
crates/boyko_render/tests/orbit_camera_drives_render_gpu.rs:602	s35_orbit_screenshot	gpu	insert	body calls common::boot_or_skip; renders OFFSCREEN and writes a BMP (module doc :4)
crates/boyko_render/tests/p7b_world_ui_screenshot.rs:1090	p7b_world_ui_screenshot	gpu	insert	body calls common::boot_or_skip; offscreen UI render + readback (module doc :14, :61)
crates/boyko_render/tests/texture_upload_smoke.rs:27	texture_upload_smoke_checkerboard_8x8_builds_mip_chain_and_bindless_slot	gpu	insert	body calls common::boot_or_skip = VulkanContext::boot, headless (module doc :1)
crates/boyko_render/tests/ui_hud_screenshot.rs:1093	p6b_hud_screenshot	gpu	insert	body calls common::boot_or_skip; offscreen target, read back, written as BMP (module doc :10)
crates/boyko_render/tests/ui_hud_screenshot.rs:1169	p6b_hud_screenshot_msdf	gpu	insert	body calls common::boot_or_skip; offscreen target, read back, written as BMP (module doc :10)
crates/boyko_render/tests/ui_s0_measure.rs:205	measure_gather_baseline	generator	insert	device-free Instant harness; prints the rect-only gather cost; its one assert (report_with :178) is an instrument sanity check, not a claim
crates/boyko_render/tests/ui_s0_measure.rs:249	measure_gather_with_sprite_components	generator	insert	device-free Instant harness; prints the pack-input list cost; same instrument-only assert
crates/boyko_render/tests/ui_s0_measure.rs:356	measure_seam_static_and_changed	slow	insert	device-free, wall-clock harness that ALSO asserts the claim (report_seam: zero probes on a static frame :292-314, one repack per changed frame :334), so it is a gate: the device-free --ignored leg
crates/boyko_rhi_vulkan/tests/compute.rs:366	negative_chained_barrier_hazard	gpu	insert	body calls boot_or_skip (:74) = VulkanContext::boot, headless compute; CLAUDE.md names it as a device test that PASSES on a GPU-less box
crates/boyko_rhi_vulkan/tests/ddgi_probe_gi_arm.rs:182	probe_update_dispatch_writes_nonzero_irradiance	gpu	insert	body calls boot_or_skip = VulkanContext::boot, offscreen dispatch smoke; software probes, no RT capability requested ('RTX' names the owner's box)
crates/boyko_rhi_vulkan/tests/ddgi_probe_gi_cost.rs:573	ddgi_probe_gi_cost	gpu	insert	body calls boot_or_skip = VulkanContext::boot, offscreen cost measurement; software probes, no RT capability requested ('RTX' names the owner's box)
crates/boyko_rhi_vulkan/tests/ddgi_probe_gi_resolve.rs:239	probe_sample_gpu_eq_cpu_to_bits	gpu	insert	body calls boot_or_skip = VulkanContext::boot, offscreen GPU-vs-CPU golden; software probes, no RT capability requested ('RTX' names the owner's box)
crates/boyko_rhi_vulkan/tests/framegraph_gbuffer_equiv.rs:1884	dump_maximal_frame_barrier_stream	generator	insert	no device entry; prints the maximal-frame barrier pin as Rust source (CLAUDE.md names it)
crates/boyko_rhi_vulkan/tests/hwrt_blas_smoke.rs:116	hwrt_blas_tlas_smoke	feature+gpu-cap	insert	file is #![cfg(feature = "hwrt")] (:21); body calls boot_or_skip (:47) for an RT device (BLAS/TLAS build); prose names --features hwrt
crates/boyko_rhi_vulkan/tests/hwrt_blas_smoke.rs:209	hwrt_tlas_pack_build_smoke	feature+gpu-cap	insert	file is #![cfg(feature = "hwrt")] (:21); body calls boot_or_skip (:47) for an RT device (BLAS/TLAS build); prose names --features hwrt
crates/boyko_rhi_vulkan/tests/hwrt_blas_smoke.rs:473	hwrt_as_descriptor_smoke	feature+gpu-cap	insert	file is #![cfg(feature = "hwrt")] (:21); body calls boot_or_skip (:47) for an RT device (BLAS/TLAS build); prose names --features hwrt
crates/boyko_rhi_vulkan/tests/m2_brick_atlas_smoke.rs:54	m2_brick_atlas_creates_and_uploads_on_device	gpu	insert	body calls boot_or_skip (:17) = VulkanContext::boot, headless atlas upload
crates/boyko_rhi_vulkan/tests/m3_dirty_atlas.rs:498	m3_incremental_atlas_renders_identically_to_full_on_device	gpu	insert	body calls VulkanContext::boot directly, offscreen parity render
crates/boyko_rhi_vulkan/tests/m5_scroll_atlas.rs:449	m5a_scroll_update_renders_identically_to_rebake_all_on_device	gpu	insert	body calls VulkanContext::boot directly, offscreen parity render
crates/boyko_rhi_vulkan/tests/particle_sim_occupancy.rs:515	particle_sim_modules_report_their_register_footprint	gpu-cap	insert	body opens VulkanProbe (no surface, module doc :21) and needs VK_KHR_pipeline_executable_properties enabled at vkCreateDevice (:13)
crates/boyko_rhi_vulkan/tests/sdf_gbuffer_hybrid.rs:4027	a5_gpu_off_vs_on_wall_clock_ab	gpu	insert	body calls boot_render_or_skip (:3065) = VulkanContext::boot; a wall-clock A/B observation; CLAUDE.md names it as a device test that PASSES on a GPU-less box
crates/boyko_rhi_vulkan/tests/sdf_gbuffer_hybrid.rs:6667	sdf_m1_brick_offscreen_matches_golden_and_analytic	gpu	insert	body calls boot_or_skip (:454) = VulkanContext::boot; offscreen render (gate or dump)
crates/boyko_rhi_vulkan/tests/sdf_gbuffer_hybrid.rs:6784	sdf_m2_brick_trilinear_offscreen_engages_and_matches_host	gpu	insert	body calls boot_or_skip (:454) = VulkanContext::boot; offscreen render (gate or dump)
crates/boyko_rhi_vulkan/tests/sdf_gbuffer_hybrid.rs:7260	sdf_m4_clipmap_near_field_matches_single_level	gpu	insert	body calls boot_or_skip (:454) = VulkanContext::boot; offscreen render (gate or dump)
crates/boyko_rhi_vulkan/tests/sdf_gbuffer_hybrid.rs:7327	sdf_m4_clipmap_far_field_renders	gpu	insert	body calls boot_or_skip (:454) = VulkanContext::boot; offscreen render (gate or dump)
crates/boyko_rhi_vulkan/tests/sdf_gbuffer_hybrid.rs:7401	sdf_m4_clipmap_far_field_screenshot_dump	gpu	insert	body calls boot_or_skip (:454) = VulkanContext::boot; offscreen render (gate or dump)
